employee_id,employee_name,department,city,sale_date,sales,revenue,price,status,manager,bonus,average_sales_by_department,rank_by_department_salary,3day_rolling_average_sale,previous_sales,sales_growth%,pervious_price,price_growth%
119,Steve,Electronics,Houston,2024-02-18,185.0,2850,54,Active,John,320.0,162.85714285714286,7.0,185.0,,,,
116,Peter,Electronics,Chicago,2024-02-10,180.0,2750,53,Active,John,300.0,162.85714285714286,6.0,182.5,185.0,-2.7027027027026973,185.0,-2.7027027027026973
113,Mia,Electronics,New York,2024-02-02,175.0,2600,52,Active,John,270.0,162.85714285714286,5.0,180.0,180.0,-2.777777777777779,180.0,-2.777777777777779
110,Jack,Electronics,Boston,2024-01-25,160.0,2300,50,Inactive,John,220.0,162.85714285714286,3.0,171.66666666666666,175.0,-8.571428571428575,175.0,-8.571428571428575
107,Grace,Electronics,Boston,2024-01-17,170.0,2500,49,Active,John,250.0,162.85714285714286,4.0,168.33333333333334,160.0,6.25,160.0,6.25
103,Charlie,Electronics,New York,2024-01-08,150.0,2100,47,Inactive,John,185.52631578947367,162.85714285714286,2.0,160.0,170.0,-11.764705882352944,170.0,-11.764705882352944
101,Alice,Electronics,New York,2024-01-03,120.0,1500,45,Active,John,200.0,162.85714285714286,1.0,146.66666666666666,150.0,-19.999999999999996,150.0,-19.999999999999996
120,Tina,Furniture,Boston,2024-02-20,125.0,1850,44,Active,Sarah,210.0,107.57142857142857,7.0,131.66666666666666,120.0,4.166666666666674,120.0,4.166666666666674
117,Quinn,Furniture,New York,2024-02-12,120.0,1800,43,Active,Sarah,200.0,107.57142857142857,6.0,121.66666666666667,125.0,-4.0000000000000036,125.0,-4.0000000000000036
114,Noah,Furniture,Houston,2024-02-05,98.0,1350,42,Inactive,Sarah,170.0,107.57142857142857,3.0,114.33333333333333,120.0,-18.333333333333336,120.0,-18.333333333333336
111,Karen,Furniture,Chicago,2024-01-28,115.0,1700,41,Active,Sarah,190.0,107.57142857142857,5.0,111.0,98.0,17.34693877551021,98.0,17.34693877551021
108,Henry,Furniture,Dallas,2024-01-20,95.0,1300,40,Active,Sarah,160.0,107.57142857142857,2.0,102.66666666666667,115.0,-17.391304347826086,115.0,-17.391304347826086
105,Eva,Furniture,Chicago,2024-01-12,110.0,1600,39,Active,Sarah,180.0,107.57142857142857,4.0,106.66666666666667,95.0,15.789473684210531,95.0,15.789473684210531
102,Bob,Furniture,Chicago,2024-01-05,90.0,1200,38,Active,Sarah,150.0,107.57142857142857,1.0,98.33333333333333,110.0,-18.181818181818176,110.0,-18.181818181818176
115,Olivia,Grocery,Boston,2024-02-07,108.0,1000,27,Active,Mike,110.0,99.59166666666665,6.0,102.66666666666667,90.0,19.999999999999996,90.0,19.999999999999996
109,Ivy,Grocery,Houston,2024-01-22,105.0,980,26,Active,Mike,185.52631578947367,99.59166666666665,5.0,101.0,108.0,-2.777777777777779,108.0,-2.777777777777779
104,David,Grocery,Houston,2024-01-10,124.55,900,25,Active,Mike,100.0,99.59166666666665,3.0,112.51666666666667,105.0,18.619047619047624,105.0,18.619047619047624
118,Rachel,Grocery,Dallas,2024-02-15,92.0,910,25,Inactive,Mike,100.0,99.59166666666665,4.0,107.18333333333334,124.55,-26.134082697711758,124.55,-26.134082697711758
112,Liam,Grocery,Dallas,2024-01-30,88.0,870,24,Active,Mike,95.0,99.59166666666665,2.0,101.51666666666667,92.0,-4.347826086956519,92.0,-4.347826086956519
106,Frank,Grocery,Dallas,2024-01-15,80.0,850,24,Inactive,Mike,90.0,99.59166666666665,1.0,86.66666666666667,88.0,-9.090909090909093,88.0,-9.090909090909093
